stats,fit,fit_clim,fore,fore_clim,change,type,roi
corr,0.8783143318760758,0.896965777266608,0.8945813832985953,0.8739015393642237,0.016267051422519496,WL,laclaflamme_WL_1000
R2,0.7714360655789174,0.8045476055874902,0.8002758513444281,0.7637039005031598,0.028839785765510717,WL,laclaflamme_WL_1000
RMSE,0.009295027797719586,0.008443080717368512,0.008693037088523068,0.009999643877275609,-6.019907091965176e-4,WL,laclaflamme_WL_1000
nRMSE,0.11550348929740778,0.10491687647399806,0.10802292775956303,0.1242593120420958,-0.0074805615378447515,WL,laclaflamme_WL_1000
corr,0.9708112141220726,0.9742055268408657,0.9636368478401734,0.9639526629273192,-0.007174366281899158,DB,laurentides_DB_1000
R2,0.9424744134651728,0.9490764085272886,0.9285959745153456,0.9292047363646697,-0.01387843894982721,DB,laurentides_DB_1000
RMSE,0.007339493578629582,0.006909253655021054,0.009057484797763828,0.010264711861005643,0.0017179912191342466,DB,laurentides_DB_1000
nRMSE,0.07916657493169073,0.07452584314467292,0.09769748297384656,0.1107190941705612,0.018530908042155833,DB,laurentides_DB_1000
corr,0.9661402789760855,0.9705503914671703,0.9715951226196625,0.9533155287911957,0.0054548436435770675,EN,laurentides_EN_1000
R2,0.9334270386599883,0.9419680623770773,0.943997082298317,0.9088104974344372,0.010570043638328697,EN,laurentides_EN_1000
RMSE,0.006782964444092606,0.006302714259569673,0.006284500102356708,0.009453644952643666,-4.984643417358979e-4,EN,laurentides_EN_1000
nRMSE,0.08221002807727283,0.07638936050940273,0.07616860358398707,0.11457887231979623,-0.006041424493285763,EN,laurentides_EN_1000
corr,0.8447412924100193,0.8604071795823247,0.8013072576882547,0.7382684100485323,-0.04343403472176455,GR,lethbridge_GR_1000
R2,0.7135878511025499,0.7403005146768109,0.6420933212238711,0.5450402452755877,-0.07149452987867877,GR,lethbridge_GR_1000
RMSE,0.01019888475533186,0.009421046237543617,0.010617845181082133,0.01152650628128229,4.1896042575027305e-4,GR,lethbridge_GR_1000
nRMSE,0.1557390742488108,0.14386131961371923,0.1621366863817574,0.17601212883904144,0.006397612132946595,GR,lethbridge_GR_1000
corr,0.981886239721856,0.9794594661688598,0.9688373522229251,0.9727881568600395,-0.01304888749893085,WL,lostcreek_WL_1000
R2,0.9641005877551259,0.9593408458677877,0.9386458150623282,0.9463167981271527,-0.02545477269279761,WL,lostcreek_WL_1000
RMSE,0.004830439095362165,0.005134060138617821,0.0063494588289895034,0.005981173985479119,0.0015190197336273385,WL,lostcreek_WL_1000
nRMSE,0.06418100714313738,0.06821515475607547,0.08436389620349376,0.07947057456017904,0.020182889060356382,WL,lostcreek_WL_1000
corr,0.8206710801750242,0.8497149301771441,0.8039938068492506,0.8399324955729468,-0.016677273325773623,AG,mandanh5_AG_1000
R2,0.6735010218356409,0.7220154625659487,0.6464060414519501,0.7054865971193982,-0.027094980383690737,AG,mandanh5_AG_1000
RMSE,0.018115034507335058,0.015393181217316011,0.01972698273815998,0.016472355728549798,0.0016119482308249236,AG,mandanh5_AG_1000
nRMSE,0.17184494149158147,0.14602458110625635,0.18713639176739538,0.15626197152729498,0.015291450275813911,AG,mandanh5_AG_1000
corr,0.8339176764292455,0.9536951617089763,0.8390458766509898,0.9271806136951746,0.005128200221744317,WL,merbleue_WL_1000
R2,0.695418691061152,0.9095344614671101,0.7039979831250283,0.8596638904121605,0.00857929206387631,WL,merbleue_WL_1000
RMSE,0.01803729168204483,0.009336924305825452,0.01735886844436809,0.011581472850477321,-6.784232376767403e-4,WL,merbleue_WL_1000
nRMSE,0.17708489306840078,0.09166721209763175,0.1704243306837111,0.11370353806181055,-0.006660562384689678,WL,merbleue_WL_1000
corr,0.9226822388129386,0.9339403901074905,0.9664882819999864,0.9646755348816516,0.04380604318704773,DB,missouriozarks_DB_1000
R2,0.8513425138208568,0.8722446522741315,0.9340995992432853,0.9305988875992006,0.08275708542242854,DB,missouriozarks_DB_1000
RMSE,0.011826888136948913,0.009561840205659526,0.00951333138937526,0.007543138625962891,-0.0023135567475736536,DB,missouriozarks_DB_1000
nRMSE,0.1521563922750203,0.12301588485123897,0.12239180467106997,0.09704469565169653,-0.029764587603950343,DB,missouriozarks_DB_1000
corr,0.9075589988681013,0.9152535378128707,0.9684520184114433,0.9548653145056938,0.06089301954334203,EN,missouriozarks_EN_1000
R2,0.8236633364264704,0.8376890384789758,0.9378993119651985,0.9117677688460575,0.11423597553872811,EN,missouriozarks_EN_1000
RMSE,0.011695545791708282,0.011205313059816955,0.012352436852972604,0.011680906426922039,6.568910612643215e-4,EN,missouriozarks_EN_1000
nRMSE,0.12143614819511206,0.11634600740644908,0.1282567208887176,0.12128414604802758,0.006820572693605531,EN,missouriozarks_EN_1000
corr,0.9245030079268134,0.9277749342198217,0.9449333382397795,0.9252142083433447,0.02043033031296615,DB,morganmonroe_DB_1000
R2,0.8547058116657257,0.8607663285665946,0.8928990137169738,0.856021331320402,0.0381932020512481,DB,morganmonroe_DB_1000
RMSE,0.008457775042987437,0.00824240987260348,0.006858976512510788,0.008398104581050688,-0.001598798530476649,DB,morganmonroe_DB_1000
nRMSE,0.12546766122218425,0.12227280629882041,0.10175013369694098,0.12458247412921958,-0.023717527525243268,DB,morganmonroe_DB_1000
corr,0.2974224632434711,0.5571248250092405,-0.24994308970618018,-0.1053243431202337,-0.5473655529496513,EB,nahuku_EB_1000
R2,0.08846012164181288,0.31038807064157703,0.062471548091873705,0.011093217253708943,-0.02598857354993918,EB,nahuku_EB_1000
RMSE,0.00435161684308721,0.003781980919197454,0.00492230573364913,0.005428638901107646,5.7068889056192e-4,EB,nahuku_EB_1000
nRMSE,0.2312229991013395,0.20095541547276585,0.26154653207487405,0.28845052609498645,0.030323532973534545,EB,nahuku_EB_1000
